date,state,city,weather,light,visibility,fatalities,primary_cause,type,pilot_age,total_hours_model_flown,hours_model_flown_90_days,hours_flown_90_days,total_hours_flown,pilot_certification,engines,aircraft_make,aircraft_model,hours_airframe,remarks
3/21/1979,NJ,MANHAWKIN,Hurricane,Day,Greater than 10 miles,null,Improper Level Off,Hard Landing,37,150,null,null,150,null,1,PIPER,PA28140,null,HARD LANDING DAMAGED AIRCRAFT.
3/24/1979,CO,DENVER,Hurricane,Day,null,null,Improper Level Off,Hard Landing,47,200,null,null,1060,null,1,CESSNA,206,null,PILOT MADE HARD LANDING ON NOSE GEAR CAUSING IT TO PARTIALLY COLLAPSE.
10/1/1978,NM,GALLUP,Light Snow,Dusk,null,null,Forgot to Extend Landing Gear,Wheels - Up Landing,42,3000,null,null,3043,null,1,CESSNA,210,null,"PILOT HAVING PROBLEMS WITH THE FLAPS, FAILED TO LOWER THE LANDING GEAR BEFORE TOUCHDOWN."
2/12/1978,RI,PAWTUCKET,Hurricane,Day,null,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,54,95,null,null,100,null,1,PIPER,PA28151,null,PILOT LOST DIRECTIONAL CONTROL DURING TAKEOFF FROM SNOW-PACKED RUNWAY. ENDED UP IN A SNOWBANK.
11/16/1978,NH,WOLFEBORO,Hurricane,Day,Greater than 10 miles,null,Landing Far Down / Land Area Overshot,Overshoot Landing,70,1750,null,null,9620,null,2,PIPER,PA23160,null,PILOT UNABLE TO STOP ON SNOW-COVERED RUNWAY BEFORE RUNNING OFF RUNWAY.
4/14/1979,ID,KUNA,Hurricane,Day,Greater than 10 miles,null,null,Forced Landing,46,3,null,null,1370,null,1,AMTRSO,STARDUSTR300,null,"ENGINE SURGED, THEN QUIT, CAUSE NOT KNOWN."
9/3/1979,NY,WARWICK,null,Day,Greater than 10 miles,null,Improper Level Off,Nose Up or Over,51,48,32,32,48,null,1,CESSNA,152,731,STUDENT PILOT LANDED NOSE WHEEL FIRST. COLLAPSED NOSE WHEEL. AIRCRAFT FLIPPED O VER ON RUNWAY.
12/8/1978,IN,MUNCIE,Light Snow,Night,Greater than 10 miles,null,null,Airframe Failure - On Ground,49,1500,null,null,6200,null,2,PIPER,PA23,null,"ENGINE FIRE AFTER LANDING DUE TO FUEL LEAKING ENGINE DRIVEN FUEL PUMP, IGNITED BY THE ELECTRIC FUEL PUMP."
11/16/1978,AK,ALLAKAKET,Hurricane,Day,Greater than 10 miles,null,Started Engine Without Assistance/Equipment,Nose Up or Over,28,200,null,null,375,null,1,CESSNA,206,null,AIRCRAFT NOSED OVER AFTER HITTING SNOWBANK. IT HAD JUST BEEN HAND-PROPPED WITH NO-ONE AT CONTROLS.
3/7/1978,NE,BEAVER CROSSING,Light Snow,Day,3,null,Continued VFR Flight Into Adverse Weather Conditions,Forced Landing,27,100,null,null,210,null,1,PIPER,PA28140,null,"PILOT LOST POWER AFTER CLIMBING THROUGH SCATTERED CLOUDS, LANDED ON A HIGHWAY MEDIAN WITH ICED AIR INTAKE."
4/12/1979,PA,PHILADELPHIA,Light Snow,Night,10,null,null,Wheels - Up Landing,null,null,null,null,null,null,2,PIPER,PA60601P,null,PILOT UNABLE TO EXTEND THE NOSE GEAR DUE TO A BROKEN BOLT PN NAS464PA 43.
6/6/1979,NV,LAS VEGAS,Hurricane,Day,10,null,Failed to Avoid Objects or Obstructions,Collision With Other,22,23,6,13,199,null,1,CESSNA,182,905,PILOT INAVERDENTLY TAXIED DOWN PERIMETER ROAD.STRUCK SIGN POST. ATC FAILED TO ALERT PILOT.
2/5/1979,NY,DUNKIRK,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Nose Up or Over,51,500,null,null,11000,null,1,CESSNA,180,null,AIRCRAFT NOSED UP WHILE EXECUTING A 180 DEGREE TURN.
3/27/1978,MT,BILLINGS,Hurricane,Day,Greater than 10 miles,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,54,40,null,null,300,null,1,CESSNA,185,null,PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN.
12/24/1978,WI,APPLETON,Hurricane,Day,2,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,null,100,null,null,8800,null,1,PIPER,PA24,null,"PILOT LANDING WITH X WIND, HAD NO BRAKING, POSSIBLY DUE TO ICY RUNWAY. LOST DIRECTIONAL CONTROL."
3/16/1979,IL,DUPAGE,Hurricane,Day,null,null,Improper Maintenance of Flying Aircraft at Airport,Collision With Other,33,110,null,null,352,null,1,CESSNA,R182,null,"NOSE WHEEL SANK DOWN IN HOLE ON RAMP, PROP STRUCK GROUND."
6/18/1979,AK,TOK JUNCTION,Hurricane,Dawn,5,null,Miused Carburetor Heat / Deicing Procedure,Collision With Trees,27,66,30,30,66,null,1,CESSNA,172,302,"TOOK OFF FROM ROUGH SOFT FIELD AT MAX GROSS WT,COULD NOT CLIMB ABOVE TREES,CRASHED INTO TREE."
3/10/1979,LA,DEQUINCY,Hurricane,Day,Less than 1 mile,2,Takeoff - Adverse Weather Condition - Immediate Vicinity,Collision With Trees,51,67,null,null,67,null,1,CESSNA,172,715,NONINSTRUMENT RATED PILOT DEPARTED AIRPORT INTO ADVERSE WEATHER. STRUCK TREES ON INITIAL CLIMB.
6/12/1979,AK,ANCHOR POINT,Hurricane,Day,Greater than 10 miles,null,Aircraft Improperly Aligned With Runway,Hard Landing,28,43,null,null,189,null,1,BLANCA,7,null,"PILOT LANDED WITH A SIDE LOAD ON THE GEAR, DISTORTING THE FUSELAGE."
4/2/1978,NC,WAXHAW,null,Day,null,null,Inadequate Flight/Supervising Pilot,Collision With Trees,null,500,null,null,1200,null,1,CESSNA,150,null,AIRCRAFT STRUCK TREES WHILE RECOVERING FROM STALL. CREW WAS PRACTICING EMERGENCY LANDINGS.
7/21/1979,OH,CONNEAUT,Hurricane,Day,6,null,Landing Far Down / Land Area Overshot,Overshoot Landing,27,10,10,10,78,null,1,CESSNA,172,462,LANDED ON LAST THIRD OF RUNWAY. RAN OFF END OF RUNWAY.
8/1/1979,IN,FLORA,Hurricane,Day,2,null,Landing Far Down / Land Area Overshot,Overshoot Landing,50,300,null,null,705,null,1,PIPER,PA32260,null,"PILOT LANDED LONG ON SHORT WET RUNWAY IN UNFAVORABLE WINDS AND MARGINAL WEATHER, RAN OFF END OF RUNWAY."
5/28/1979,NY,MT KISCO,Hurricane,Day,Less than 1 mile,null,Insufficient Terrain Clearance in Route,Collision With Trees,40,78,32,32,78,null,1,CESSNA,172,632,"VECTORED INTO AREA OF HEAVY RAIN. STRUCK TREES ON HILL, REMAINED AIRBORNE, LANDED SAFELY.FACTOR LOW TIME PILOT."
1/31/1978,NM,CANNON,Hurricane,Day,null,null,Poor Preflight Planning - Weather Conditions,Other/Miscellaneous,23,75,null,null,310,null,1,CESSNA,172,null,PILOT CAUGHT ON TOP WITH FAULTY ARTIFICAL HORIZON. GUDED TO A LANDING AT AN AIR FORCE BASE.
11/4/1979,NY,SHADIGEE,Hurricane,Day,Greater than 10 miles,2,null,Missing Aircraft,28,null,null,null,300,null,1,CESSNA,172,929,ACFT WAS OBSERVED FLYING LOW OVER FREIGHTER ON LAKE ONTARIO. PILOT REPORTED ENGINE QUIT. DITCHED IN LAKE.
2/11/1978,NY,ELMIRA,Hurricane,Night,Greater than 10 miles,null,null,System Malfunction or Failure,26,400,null,null,4000,null,1,CESSNA,172,null,"PILOT LOST ELECTRICAL POWER, LANDED SAFELY AT BLACKED OUT AIRPORT. CHAFED WIRE HAD BLOWN AN ALTERNATOR CONDENSOR."
11/23/1978,TX,ADDISON,Light Snow,Night,null,null,null,Airframe Failure - In Flight,27,1200,null,null,6400,null,2,BEECH,E90,null,CABIN DOOR BLEW OFF AIRCRAFT. UNEVENTFUL LANDING MADE. DOOR HAD NOT BEEN LOCATED.
5/27/1979,AR,CAMDEN,Hurricane,Day,Less than 1 mile,null,Poor Preflight Plan - Fuel Quantity,Collision With Trees,50,235,15,75,900,null,1,CESSNA,172,919,VFR PILOT RAN OUT OF VFR WEATHER AND FUEL. STRUCK TREES DURING EMERGENCY LANDING.
8/1/1979,CA,HAYWARD,null,Dusk,Greater than 10 miles,null,Forgot to Extend Landing Gear,Wheels - Up Landing,21,120,2,300,1661,null,2,CESSNA,310,null,STUDENT RETRACTED GEAR. INSTRUCTOR FAILED TO NOTICE AND ALLOWED STUDENT TO LAND WITH THE GEAR UP.
9/30/1979,WI,MOSINEE,Hurricane,Day,Greater than 10 miles,null,Collided With Object on Final Approach,Collision With Wires-Poles,58,1163,null,null,1163,null,1,UNIVAR,415,null,PILOT STRUCK POWERLINE DURING DEMONSTRATION OF A FORCED LANDING.
11/7/1979,TX,KAMAY,Heavy Snow,Day,10,null,Failed to Avoid Objects or Obstructions,Collision With Wires-Poles,42,63,9,9,83,null,1,CESSNA,172,1450,SIGHTSEEING FLT AT A NEAR SURFACE ALTITUDE IN OPEN RANGE LAND. ACFT HIT GUYWIRE OR POWER LINE. LANDED SAFELY.
5/28/1978,GA,THOMASVILLE,Hurricane,Day,4,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,38,18,null,null,259,null,1,LUSCOM,8,null,PILOT LOST DIRECTIONAL CONTROL DURING TAKEOFF.
2/22/1979,AK,ANCHORAGE,null,Unknown,null,null,null,Forced Landing,58,15,null,null,4725,null,1,PIPER,PA20,null,ENGINE LOST POWER DURING MANUEVERS. VALVE ADJUSTING LOCK NUT BACKED OFF.
5/16/1979,OK,BETHANY,Light Snow,Night,Greater than 10 miles,null,Inadvertant Retrieval of Landing Gear,Wheels - Up Landing,54,248,null,null,329,null,1,BEECH,V35,null,GEAR UP LANDING.
5/6/1979,AK,KODIAK,Light Freezing Rain,Day,7,null,Improper Operation of Flight Controls in Air,Stall,25,470,50,50,550,null,1,PIPER,PA18,805,MADE WATER TAKEOFF IN STRONG GUSTY WIND. AIRCRAFT STALLED AT ABOUT 50 FEET. RIGHT WING HIT WATER.
12/9/1979,VQ,null,Unknown,Day,null,null,null,Forced Landing,42,null,null,null,null,null,1,CESSNA,172,null,ENGINE FAILED DUE TO FAILURE OF AN EXHAUST VALVE.
7/25/1979,KY,LONDON,Hurricane,Day,1,null,null,System Malfunction or Failure,34,35,null,null,400,null,1,MOONEY,M20C,null,COMPLETE ELECTRICAL FAILURE ON APPROACH. FOUND GRASS RUNWAY AND LANDED STRIKING FENCE POST.
9/8/1978,NE,HARVARD,Hurricane,Night,Greater than 10 miles,null,Pilot/Crew Mismanaged Aircraft System,Hard Landing,24,10,null,null,75,null,null,PIPER,PA28/,null,HARD LANDING RESULTED DUE TO MISUSE OF FLAPS.
2/28/1979,TX,MCCAMEY,Hurricane,Day,Greater than 10 miles,null,null,Fire or Explosion - On Ground,null,300,null,null,329,null,1,PIPER,PA22135,3015,ENGINE BACKFIRED ON ABORTED TAKEOFF ROLL. FIRE CONSUMED AIRCRAFT AFTER PILOT GOT OUT.
1/4/1978,FL,KEY LARGO,Light Snow,Day,null,null,Failed to Advise Unsafe Airport Conditions,Loss of Directional Control - Ground Loop,null,301,null,72,12322,null,2,DEEHOW,500,null,.
4/2/1979,OR,PENDLETON,Hurricane,Day,Less than 1 mile,null,Lost Control in Adverse Weather Conditions,Controllable Collision With Ground,27,150,79,79,448,null,1,CESSNA,172,242,PILOT PROCEDED INTO AREA OF HEAVY SNOW AT LOW ALTITUDE. FLEW AIRCRAFT INTO GROUND ATTEMPTING TO REVERSE COURSE.
3/14/1979,TX,UVALDE,Light Snow,Night,7,null,Continued VFR Flight Into Adverse Weather Conditions,Uncontrollable Collision With Ground,48,180,18,18,180,null,1,CESSNA,R172K,275,NON-INSTRUMENT RATED PILOT ATTEMPTED VFR FLIGHT IN IFR WEATHER CONDITIONS. STRUCK GROUND AT HIGH AIRSPEED.
12/21/1979,IL,ALTON,Hurricane,Day,2,1,Failed to Follow Approved Procedure/Instruction,Uncontrollable Collision With Ground,46,null,null,null,3100,null,1,CESSNA,R172K,425,PILOT MISSED APPROACH AND MADE GO-AROUND. AIRCRAFT WAS OBSERVED TO DIVE OUT OF THE CLOUDS AND HIT THE GROUND.
12/14/1979,CO,MONTROSE,Hurricane,Day,Greater than 10 miles,null,Insufficient Terrain Clearance in Route,Collision With Trees,42,4,4,7,1150,null,1,CESSNA,R172K,1250,UNABLE TO OUTCLIMB RISING TERRAIN IN CANYON. HIT TREES. PILOT REPORTED DOWNDRAFT. NO WIND.
5/28/1978,TX,MATHIS,Hurricane,Unknown,null,null,Miscellaneous Unsafe Actions - Starting Engine,Other/Miscellaneous,28,25,null,null,46,null,1,UNIVAR,415,null,STUDENT PROPPED AIRCRAFT WHICH STARTED AND JUMPED CHOCKS. RAN INTO PARKED AIRCRAFT.
12/8/1979,CA,HUNTINGTON BEAC,Hurricane,Dusk,10,null,null,Nose Up or Over,69,44,44,48,1495,null,1,CESSNA,175,2434,"ENGINE STOPPED ON CLIMB-OUT. LANDED IN SOFT FIELD OFF END OF RUNWAY. NOSE OVER, NO ENGINE DEFECTS FOUND."
9/19/1978,MA,WORCESTER,Hurricane,Day,Greater than 10 miles,null,Lost On/Off Course - VFR ,Other/Miscellaneous,25,100,null,null,120,null,1,CESSNA,150,null,PILOT BECAME DISORIENTED AND MADE TOUCH AND GOES AT CONTROLLED AIRPORT WITHOUT TOWER COMMUNICATION.
10/24/1978,IA,DAVENPORT,null,Day,8,null,Improper Operational Brake - Flight Control-Ground,Loss of Directional Control - Ground Loop,27,16,null,null,16,null,1,CESSNA,172,null,STUDENT PILOT LOST DIRECTIONAL CONTROL DURING TOUCH AND GO IN CROSSWIND CONDITIONS.
12/10/1978,OH,CLEVELAND,Hurricane,Day,null,null,Miscellaneous Unsafe Actions - Starting Engine,Collision With Other,27,3,null,null,151,null,1,CESSNA,177,null,PILOT STARTED THE ENGINE ON AN ICY RAMP. NO BRAKING ACTION. RAN INTO ANOTHER AIRPLANE PARKED ON THE RAMP.
8/18/1978,TX,BRECKENRIDGE,Hurricane,Day,null,null,null,System Malfunction or Failure,43,39,null,null,3650,null,1,VOUGHT,F4U4,null,WHILE PERFORMING ACROBATICS PROP BEGAN TO OVERSPEED. CLOSED THROTTLE AND ENGINE QUIT.
2/20/1979,OH,CLEVELAND,Light Snow,Day,null,null,null,Airframe Failure - In Flight,52,5800,null,null,14000,null,null,LKHEED,1329,null,COMPLETE WHEEL CAME OFF OVER RETAINING NUT. SUSPECT WATER CONTAMINATION IN BEARING.
12/25/1978,MN,PARK RAPIDS,Hurricane,Dusk,null,null,Failed to Avoid Objects or Obstructions,Collision With Other,68,75,null,null,2000,null,1,CESSNA,180,null,"DURING RUNUP ON ICE AND SNOW COVERED AREA, AIRPLANE SLID FORWARD INTO A TAXIWAY LIGHT."
3/10/1978,MO,CREVE COEUR,Hurricane,Day,7,null,Unsuitable Terrain Snow/Ice Area,Undershoot Landing,31,212,null,null,3814,null,1,PIPER,PA28140,null,PILOT LANDED SHORT ON AN AIRPORT WHICH WAS ONLY PARTIALLY CLEARED OF SNOW & WAS NOTAMED CLOSED.
7/11/1979,WA,VANCOUVER,Hurricane,Night,Greater than 10 miles,null,Improper Level Off,Hard Landing,27,43,43,62,174,null,1,CESSNA,182,904,LEVELED OFF HIGH ON NIGHT LANDING. AIRCRAFT HIT RUNWAY HARD IN LEVVEL FLIGHT.
12/31/1978,OR,BEND,Hurricane,Day,null,null,null,Engine Malfunction,48,1000,null,null,10000,null,1,BEECH,V35B,null,CRANK SHAFT BROKE FORWARD OF THE FRONT MAIN. AIRCRAFT LANDED SAFELY.
4/3/1979,IN,BREMEN,Hurricane,Day,null,null,Selected Unsuitable Terrain,Nose Up or Over,33,300,null,null,3100,null,1,PIPER,J3,null,PILOT TAKING OFF FROM FARM STRIP HIT A SOFT SPOT AND TURNED OVER.
5/8/1979,AZ,TUCSON,Light Snow,Day,Greater than 10 miles,1,Full to Low Fuel,Controllable Collision With Ground,49,767,33,33,2048,null,2,CESSNA,320,2955,ENGINES STOPPED DUE TO FUEL EXHAUSTION TURNING TO FINAL APPROACH. AIRCRAFT HIT EMBANKMENT.
5/16/1979,AZ,SHOW LOW,Fog,Day,Greater than 10 miles,null,Delayed in Initiating Go-around,Collision With Airport Hazard,45,240,240,244,3434,null,1,CESSNA,207,1098,"PILOT ATTEMPTING LANDING ON STRIP UNDER CONSTRUCTION, LOST CONTROL DURING LANDING IN GUSTY WIND CONDITIONS."
12/26/1978,CO,DENVER,Light Snow,Day,Greater than 10 miles,null,Aircraft Improperly Aligned With Runway,Other/Miscellaneous,40,600,null,null,2300,null,2,BEECH,9555,null,PILOT LINED UP WITH TAXIWAY. DECIDED TO LAND ANYWAY. RAN INTO A BARRIER AND LIVE TAXIWAY SIGN.
11/14/1979,MO,KANSAS CITY,Light Snow,Day,5,null,null,Gear Collapse,29,7,5,150,745,null,2,BEECH,58,1867,LANDING GEAR COLLAPSED ON LANDING. NO DEFECTS FOUND. AIRCRAFT HAD A HISTORY OF LANDING GEAR DEFECTS. .
10/25/1979,AK,KIPNUK,Hurricane,Day,Greater than 10 miles,null,Failed to Correct for Drift,Collision With Other,20,93,53,53,93,null,1,CESSNA,172,82,AIRCRAFT DRIFTED OFF THE SIDE OF RUNWAY ON TAKEOFF. HIT ROUGH TERRAIN.
12/12/1978,OH,EDISON,Hurricane,Day,null,null,Landing Far Down / Land Area Overshot,Overshoot Landing,48,145,null,null,145,null,1,CESSNA,172,null,"PILOT LANDED LONG ON WET, SOD STRIP. GROUND-LOOPED TO PREVENT AIRCRAFT FROM GOING TO A DITCH AT RUNWAY END."
10/17/1978,FL,WEST PALM BEACH,Hurricane,Night,Greater than 10 miles,null,Improper Level Off,Hard Landing,24,8,null,null,108,null,1,PIPER,PA28181,null,PILOT BENT THE NOSE GEAR AND DAMAGED THE PROP DUE TO SIDE LOAD ON LANDING IN MODERATE TURBULENCE AND CROSSWIND.
10/29/1978,SD,FREEMAN,Hurricane,Day,null,null,Landing Far Down / Land Area Overshot,Overshoot Landing,43,164,null,null,289,null,1,PIPER,PA28R200,null,PILOT OVERSHOT DURING LANDING ON A FARM STRIP. DAMAGED A WING ON A TELEPHONE POLE.
11/24/1978,CA,SACRAMENTO,Hurricane,Day,null,null,Unauthorized Action,Other/Miscellaneous,41,null,null,null,null,null,1,PIPER,PA28R200,null,FLIGHT INSTRUCTOR UNABLE TO PRODUCE MEDICAL ON REQUEST. FACIMILIES OF FAA CERTIFICATES ONLY ON PERSON.
2/14/1979,NE,PLATTSMOUTH,null,Night,Greater than 10 miles,null,Improper Level Off,Hard Landing,21,300,null,null,445,null,1,PIPER,PA28140,null,BOUNCED ON LANDING AND STRUCK SNOWBANK.
